年月日,up_down,Open,High,Low,Close,Volume,Turnover rate,Market capitalization,ln_past_return,PE ratio,Dividend yield,ROA,ROE,EBT Margin,Net profit margin growth rate,Current ratio,Quick ratio,D/E ratio,Share capital,Retained earnings,TW_Index,SP_500,Semi,NASDAQ,XLK,QQQ,Fed_interest_rate,TW_unemployment_rate,TW_gdp,TW_economic_index,Rediscount_Rate,Secured_Loan_Rate,1M_Deposit_Rate,1Y_Deposit_Rate,Base_Loan_Rate,Overnight_Weighted_Rate,Commercial_Paper_Rate,10Y_Gov_Bond_Rate,Overall_Index,Food,Clothing,Housing,Transport_Communication,Healthcare,Education_Recreation,Miscellaneous
2019-12-11 00:00:00,0,16.4,16.5,16.15,16.25,60175,0.5132,190520,-1.2233,46.9278,3.6301,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11700.76953,3132.52002,1720.900024,8616.179688,87.37000275,203.8999939,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-12 00:00:00,1,16.3,16.75,16.3,16.6,155933,1.3299,194631,2.131,47.9386,3.5534,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11836.41992,3141.629883,1759.199951,8654.049805,87.95999908,204.9799957,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-13 00:00:00,0,16.65,16.8,16.4,16.6,81741,0.6972,194631,0,47.9404,3.5534,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11927.73047,3168.570068,1806.869995,8717.320313,88.90000153,206.5099945,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-16 00:00:00,1,16.55,16.85,16.4,16.65,72127,0.6152,195217,0.3008,48.0848,3.5428,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11939.76953,3168.570068,1806.869995,8717.320313,88.90000153,206.5099945,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-17 00:00:00,1,16.85,17.05,16.7,17,96263,0.821,199321,2.0803,49.0955,3.4698,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12097.00977,3191.449951,1813.310059,8814.230469,90.29000092,209.2700043,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-18 00:00:00,0,16.9,16.95,16.7,16.8,73543,0.6272,196976,-1.1834,48.518,3.5111,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12122.4502,3192.52002,1821.920044,8823.360352,90.08000183,209.3899994,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-19 00:00:00,0,16.8,16.8,16.45,16.7,57550,0.4908,195803,-0.597,48.2292,3.5322,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12018.90039,3191.139893,1820.290039,8827.740234,90.06999969,209.5500031,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-20 00:00:00,0,16.75,16.8,16.55,16.7,47379,0.4041,195803,0,48.2292,3.5322,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11959.08008,3205.370117,1834.969971,8887.219727,90.72000122,210.8600006,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-23 00:00:00,0,16.7,16.7,16.5,16.55,30998,0.2644,194045,-0.9023,47.796,3.5642,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12022.23047,3205.370117,1834.969971,8887.219727,90.72000122,210.8600006,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-24 00:00:00,0,16.6,16.7,16.5,16.55,25642,0.2187,194045,0,47.796,3.5642,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,11976.37988,3224.01001,1857.119995,8945.650391,91.20999908,211.8099976,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
2019-12-25 00:00:00,1,16.6,16.75,16.55,16.65,19272,0.1644,195217,0.6024,48.0848,3.5428,0.68,1.24,5.24,105.69,232.48,158.61,82.42,117243187,57789005,12008.12988,3223.379883,1862.199951,8952.879883,91.23999786,211.9199982,1.55,3.73,4942469,24,1.375,1.75,0.6,1.04,2.631,0.176,0.54,0.69,98.35,97.64,101.73,98.49,96.95,99.39,99.29,98.37
